Address,Common Name,Latitude,Longitude,Total,Substances,Noise
900 NOYES ST,,42.058455,-87.6842729,2,0,0
1637 ORRINGTON AVE,,42.0478211,-87.68057669999999,2,0,0
1617 RIDGE AVE,,42.0478891,-87.68863019999999,1,0,1
SHERIDAN RD AND HAVEN ST,,42.0572969,-87.677144,1,1,0
1800 GREY AVE,,42.05025639999999,-87.70272659999999,1,0,0
 2100 BLOCK CAMPUS DR ,,42.0559386,-87.67411059999999,1,0,0
2006 SHERIDAN RD,Statistics,42.05416,-87.67765229999999,1,0,0
808 HAMLIN ST,,42.05487900000001,-87.682344,1,0,0
636 CHURCH ST,,42.04801490000001,-87.68046969999999,1,0,0
1856 SHERMAN AVE,,42.0517033,-87.6820309,1,1,0
738 NOYES ST,,42.0583988,-87.680373,1,0,0
640 EMERSON ST,Gamma Phi Beta,42.0519925,-87.6794268,10,1,0
1813 HINMAN AVE,Journalism/Advertising,42.0493804,-87.6757669,4,0,0
1118 FOSTER ST,,42.053706,-87.68683399999999,4,3,2
1100 FOSTER ST,,42.0539422,-87.6859058,3,4,0
CHURCH ST AND BENSON AVE,,42.0484748,-87.68338759999999,1,0,0
 2400 BLK SHERIDAN PL ,,42.06871,-87.6798587,1,0,0
